Ref,Val,Package,PosX,PosY,Rot,Side
D2,BAV99,SOT-23,12.460000,33.920000,0.000000,top
D3,red,LED_0805,49.450000,42.850000,90.000000,top
D4,green,LED_0805,19.850000,22.560000,90.000000,top
D5,BAV99,SOT-23,71.860000,16.520000,270.000000,top
D6,BAV99,SOT-23,68.260000,16.520000,270.000000,top
D7,BAV99,SOT-23,64.660000,16.520000,270.000000,top
D8,BAV99,SOT-23,61.060000,16.520000,270.000000,top
J1,Conn_Coaxial,Molex_SMA_Jack_Edge_Mount,0.760000,42.220000,0.000000,top
J2,Conn_Coaxial,Molex_SMA_Jack_Edge_Mount,0.760000,14.620000,0.000000,top
J12,USB_OTG,USB_Micro-B,74.800000,40.400000,90.000000,top
L1,560n,Neosid_Inductor_SM-NE29_SMD1008,19.960000,17.920000,90.000000,top
L2,560n,Neosid_Inductor_SM-NE29_SMD1008,19.670000,6.010000,90.000000,top
L3,560n,Neosid_Inductor_SM-NE29_SMD1008,27.260000,16.570000,180.000000,top
L4,560n,Neosid_Inductor_SM-NE29_SMD1008,27.360000,7.120000,180.000000,top
L5,BLM21PG221,R_0805,31.460000,37.920000,180.000000,top
L6,BLM21AG102,R_0805,46.760000,45.120000,180.000000,top
L7,BLM21AG102,R_0805,14.010000,5.870000,90.000000,top
L8,BLM21AG102,R_0805,71.440000,47.000000,180.000000,top
L9,BLM21PG221,R_0805,68.350000,25.130000,0.000000,top
L11,BLM21AG102,R_0805,61.530000,50.920000,90.000000,top
L12,BLM21PG221,R_0805,66.940000,35.760000,180.000000,top
L13,BLM21AG102,R_0805,10.610000,5.845000,90.000000,top
L14,BLM21AG102,R_0805,69.160000,40.080000,90.000000,top
Q1,BC846,SOT-23,23.480000,16.590000,180.000000,top
Q2,BC846,SOT-23,23.670000,7.380000,180.000000,top
Q3,BC846,SOT-23,25.510000,22.570000,270.000000,top
R1,49.9 1%,R_1206,7.810000,42.320000,0.000000,top
R2,1,R_0603,10.360000,39.220000,270.000000,top
R5,10,R_0603,10.010000,49.820000,0.000000,top
